year,agency_name,Total Crime,Index-Violent,Index-Property,Index-Total,Murder
2013,baltimore,20.34699989672622,41.891117478510026,8.759621942901685,16.07531507820013,49.78540772532189
2014,baltimore,19.61578901252957,37.047687514977234,9.153636981645139,15.318010909283483,45.023696682464454
2015,baltimore,11.944786685321693,21.71452525675959,5.0677095116512065,8.99142850085221,29.651162790697676
2016,baltimore,13.534160592984124,27.48410535876476,4.264392324093817,10.567842789160933,38.67924528301887
2017,baltimore,11.282956595156772,22.49396621078037,3.6796823295830574,9.16295427901524,51.75438596491229
2018,baltimore,8.73204220875535,17.495495495495494,2.906271815409487,7.132604327061095,42.394822006472495
2010,baltimore county,53.219223824482434,77.21254355400697,30.44393014937934,37.61667260420378,100
2011,baltimore county,53.97784739867282,73.6470588235294,30.731092436974787,37.233511586452764,83.33333333333334
2012,baltimore county,53.957687167460975,71.89384800965018,33.07326274274446,38.930547466511356,91.66666666666666
2013,baltimore county,53.96942800788954,72.98282144716293,33.85569702905648,39.801447613020606,93.75
2014,baltimore county,54.10728768393002,71.41698215251488,34.283217631923876,39.934971395645555,87.5
2015,baltimore county,51.7883450646587,72.11141678129297,30.26839325761412,37.54109138724523,77.77777777777779
2016,baltimore county,48.23732373237324,66.49988628610416,26.910555174777244,33.18553765185105,80
2017,baltimore county,51.936519931985636,68.17550129045067,27.851435974951418,35.05604426787741,74.28571428571429
2018,baltimore county,53.5453243915304,70.28820236367406,28.64816472694718,36.35874990401597,96.29629629629629
2010,birmingham,NA,NA,NA,NA,NA
2011,birmingham,NA,NA,NA,NA,NA
2012,birmingham,NA,NA,NA,NA,NA
2013,birmingham,20.129897164744577,34.39691444600281,11.14642932824751,15.04497618907637,65.07936507936508
2014,birmingham,20.471044382115164,33.89729890175126,14.322636226577643,18.135044513816627,71.15384615384616
2015,birmingham,15.683727726590089,29.053142702994332,11.297133120971923,15.122631640125539,55.69620253164557
2016,birmingham,13.001760563380282,25.935672514619885,8.412189254210105,12.183763373190686,64.1025641025641
2017,birmingham,11.030831516661477,18.467908902691512,6.325979288608735,8.921143464023364,25.423728813559322
2018,birmingham,12.872379551305627,21.391304347826086,7.138021812711545,10.450346420323326,32.95454545454545
2010,boston,21.984065640049945,45.059288537549406,10.873569904983517,18.395281128294325,32.87671232876712
2011,boston,20.371640581156075,39.14699162223915,10.105425559269735,16.281329716159856,60.317460317460316
2012,boston,18.902044513457557,33.11811621724269,9.597253256308246,14.842261274613595,49.122807017543856
2013,boston,18.848391231472046,33.0950962874727,9.947907914636197,15.041502839667977,79.48717948717949
2014,boston,19.649074895883114,33.96504527268899,10.776535989345069,15.777999818330457,45.28301886792453
2015,boston,16.36600819977637,28.328370905997446,8.949896157840083,13.4808552958727,73.68421052631578
2016,boston,17.74062777498938,30.018879798615483,9.144868520946925,14.31242210220191,48.97959183673469
2017,boston,15.610045481510776,28.096280087527354,8.348520958923315,13.139732427266937,43.859649122807014
2018,boston,16.267198404785642,30.249768732654946,9.074034411365746,14.069063335333587,50
2010,charlotte-mecklenburg,35.140765765765764,52.09568595379268,18.486498948157113,22.63841180036371,88.52459016393442
2011,charlotte-mecklenburg,35.671958301127695,50.1566743263004,19.382654336415897,23.38632966435657,94.64285714285714
2012,charlotte-mecklenburg,35.27554811264461,48.930889652539136,20.722987694479393,24.629213483146067,76.92307692307693
2013,charlotte-mecklenburg,35.112726678647284,46.00431965442765,20.4913474434885,24.13493354270652,67.79661016949152
2014,charlotte-mecklenburg,32.88000815577531,44.32132963988919,19.469982005561917,22.996153738173447,65.95744680851064
2015,charlotte-mecklenburg,32.41376678876679,42.48486886348352,19.47694633408919,22.98388130077134,81.9672131147541
2016,charlotte-mecklenburg,29.719121795658037,40.97560975609756,16.609495807470324,20.30167236440913,85.07462686567165
2017,charlotte-mecklenburg,31.02735517029478,43.702411167512686,16.23201696566745,20.4354580319433,90.69767441860465
2018,charlotte-mecklenburg,25.994320784098196,33.95556926874421,14.15097044236117,17.254551168919082,81.35593220338984
2010,chicago,NA,NA,NA,NA,NA
2011,chicago,NA,NA,NA,NA,NA
2012,chicago,NA,NA,NA,NA,NA
2013,chicago,NA,NA,NA,NA,NA
2014,chicago,NA,NA,NA,NA,NA
2015,chicago,NA,NA,NA,NA,NA
2016,chicago,NA,NA,NA,NA,NA
2017,chicago,NA,NA,NA,NA,NA
2018,chicago,NA,NA,NA,NA,NA
2010,cincinnati,33.56141265993679,37.04011065006916,19.966019417475728,22.51497005988024,51.470588235294116
2011,cincinnati,31.69106576544831,33.094928478543565,19.1882816682077,20.998941798941797,49.18032786885246
2012,cincinnati,31.320121631540314,32.51808473992422,19.586501121260184,21.358444255640517,48.93617021276596
2013,cincinnati,27.26037735849057,30.05598320503849,15.449081031094671,17.51984126984127,35.714285714285715
2014,cincinnati,29.873314262362076,40.78705406399411,16.894484412470025,20.243311510902622,58.333333333333336
2015,cincinnati,32.45940050092914,42.431850789096124,18.591992258376678,22.031880757685542,67.16417910447761
2016,cincinnati,34.35533595168715,41.28676470588235,20.849044337537382,23.920008838802342,47.368421052631575
2017,cincinnati,33.54037267080746,41.722555594775855,20.74809665673618,24.060653361578773,57.14285714285714
2018,cincinnati,34.93670886075949,49.1015625,20.05227239727022,24.60511815844251,55.172413793103445
2010,cleveland,14.035012535087532,21.739916802315065,6.88584552568901,9.713852828759341,58.0246913580247
2011,cleveland,12.955886723559631,19.738538022463633,6.629160437485247,8.937080618496546,35.13513513513514
2012,cleveland,12.612632032765683,19.272261839458768,6.254598969830758,8.633189669573351,60
2013,cleveland,12.618119981918763,16.68972673815289,5.952636781707998,8.089779338359323,22.413793103448278
2014,cleveland,12.46407046824293,16.96445725264169,5.467571644042232,7.732485522879527,38.095238095238095
2015,cleveland,12.5270593596901,14.269862405681314,5.245542897599279,7.2743601257296815,47.43589743589743
2016,cleveland,6.14595787731077,8.11239879345928,2.274387571226806,3.6449016100178895,15.555555555555555
2017,cleveland,7.411753202307617,10.968494749124854,2.465160472972973,4.510283446257467,15.887850467289718
2018,cleveland,8.541362022143305,13.511245384357167,2.5203204490965443,5.360163059976582,17.441860465116278
2010,columbus,22.555574534540394,15.040204678362572,7.579039405440851,8.310780535890313,42.10526315789473
2011,columbus,22.570154600541166,15.302218821729149,7.958701230477037,8.660294950750169,22.988505747126435
