,,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020,39127.67,7813.67,10959.11,26641.13,58601.94,23255.49,83281.94,55515.14,33294.1,27189.99,30461.45,62404.09,34018.23,49080.01,42845.91,29983.9,22605.57,56630.53,52050.76,21999.35,20772.92,29364.02,13971.4,7677.611,55958.75,56909.59,76553.45,29208.3,60122.34,68816.58,31787.93,56644.85,55324.46,37823.69,54363.14,35212.46,37724.04,19218.93,53309.57,19728.6,15818.27,38145.03,19772.96,33616.95,28630.81,19359.36,31152.63,18479.89,31715.29,96765.88,12823.8,41174.41,29282.13,17738.64,4656.905,13631.9,10907.49,12062.13,17103.8,23063.49,24209.58,16794.17,29746.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2019,38632.75,7509.357,9267.849,24807.61,57631.6,26440.09,83869.78,61242.28,30197.69,33785.78,31641.02,61407.77,32247.14,55382.97,37958.44,30929.6,25361.79,55745.59,60371.66,19594.34,21781.96,25665.48,12514.06,7128.4,55476.05,59482.36,80570.98,26403.33,62678.59,63671.77,32070.92,57880.99,54364.77,38343.78,50316.23,33367,37758.3,23027.51,56749.44,23542.89,17867.31,42099.21,22308.96,39379.38,31386.02,21122.6,34652.92,17826.76,31240.38,104297.1,12319.1,42499.38,31241.44,22415.15,5499.221,13410.86,9597.479,12703.39,14640.45,25113.01,29633.88,19842.15,32751.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2018,38338.76,6049.628,10684.73,27996.29,61350.61,24390.97,86264.08,58044.98,34271.02,29185.62,35771,60949.8,32003.41,52133.07,41168.1,35425.75,20857.69,53966.69,55246.43,21740.48,21600.95,31829.69,15506.97,5784.243,59484.73,61949.51,83961.2,31559.51,61682.7,69036.58,32812.51,63622.96,61152.64,35961.21,48318.96,37194.14,39748.48,18915.34,54670.18,23044.94,16403.43,40276.93,18582.66,33005.23,27047,17660.01,34890.33,17565.38,32329.68,103561.2,12194.1,46019.41,28311.37,20138.59,5509.253,12404.54,7268.339,11436.62,15024.97,25851.67,21291.24,20023.16,29521.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2035,15954.38,1824.631,1171.278,7123.154,12759.87,3263.904,23138.05,18491.62,14314.12,1910.371,4116.818,7377.103,5183.486,5085.388,6750.786,16833.21,694.7177,6905.881,6486.673,1647.032,12123.85,2633.857,3704.823,820.277,8126.103,18986.01,10713.9,4638.635,3817.192,8980.261,14118.15,12593.25,18281.12,2523.156,5434.861,24245.14,6874.697,8772.526,13779.98,3300.26,4765.195,17293.46,3445.926,13583.91,10966.04,3378.106,5146.881,19835.12,5874.858,31721.29,5542.384,12939.19,4191.279,2684.582,1212.711,1834.937,3095.551,1704.941,1781.417,2947.824,7645.708,4167.196,15478.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034,17983.17,1356.704,1169.575,7121.537,6063.353,1983.516,22802.57,15546.64,14080.52,1594.375,4936.122,6859.204,3126.905,4756.822,6064.91,16838.77,1211.774,7906.069,8379.071,1535.161,11729.08,3129.291,2865.324,763.2583,7123.521,19628.93,12504.62,4220.21,4125.523,7695.495,13530.57,14980.49,12342.58,2474.65,6316.238,21482.56,6611.478,8876.669,16352.75,4698.16,4479.998,13664.84,3212.552,13153.43,17429.86,3582.305,6476.479,12171.04,4277.408,37763.46,5128.641,15418.84,6285.585,2260.45,321.0866,1249.188,2674.807,2176.313,4855.65,3429.744,6207.506,5041.65,20364.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033,16952.3,1399.173,2012.297,5183.443,10262.57,1810.356,28537.48,18111.72,14790.03,1844.899,4128.718,10804.88,2583.976,7170.991,5995.374,18192.72,709.8163,7019.224,8092.671,1880.707,14278.88,3109.163,3441.536,839.4515,7008.052,18998.35,12507.42,4138.25,4774.746,7812.453,14107.29,17273,14358.1,2440.348,6397.18,21914.91,4804.502,8377.822,14899.61,3767.911,5027.464,16700.99,2513.667,12756.69,19219.12,3161.204,7829.191,14120.62,8248.753,35747.28,4880.758,16818.81,4211.612,2397.46,144.3582,2216.649,2595.915,1542.086,2393.184,3677.24,6680.654,5079.757,16107.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032,18355.27,1546.836,1059.341,7383.683,9699.054,1769.231,26170.99,20152.55,15391.69,1516.139,4845.983,9044.541,2610.63,6453.655,6056.958,22733.05,878.8078,6863.726,8431.082,1477.499,14397.95,3026.133,5051.656,750.6542,5926.698,21687.59,13413.08,4404.406,4228.902,7746.541,13818.92,16878.91,12041.36,2590.844,6260.663,25362.86,5557.344,9663.603,17295.69,5504.685,4064.556,15651.21,2500.869,11929.31,14895.7,3905.411,6768.189,12892.33,8528.387,36789.02,8373.624,17326.32,5151.239,3212.608,121.8241,2393.648,2632.046,2014.193,4845.385,4764.707,5037.336,5432.833,15906.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031,17133.18,1466.968,924.2153,5766.781,9156.901,2363.865,28276.37,17627.66,14626.56,1411.298,4236.325,6395.433,3539.931,4470.998,4265.653,22380.59,553.809,7195.411,8415.896,2215.027,16354.12,2565.132,2917.279,736.3315,7842.313,17766.5,12601.88,5585.169,4872.36,9256.981,15894.15,14901.03,12307.7,1860.226,5435.225,22137.78,5074.099,10175.57,17104.71,4684.097,8007.467,15108.9,3104.202,13007.84,16741.21,4363.318,8260.575,14623.57,7012.383,36124.11,5357.54,16480.52,5506.626,2682.599,420.3681,2617.017,2727.609,1770.431,3925.606,3149.217,7460.003,6467.875,16825.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030,18167.14,1449.486,672.0683,8554.113,6908.981,1573.121,24668.22,15482.65,17524.04,1176.685,3730.432,9045.379,1868.982,3920.993,4986.521,16394.69,1041.58,6787.749,7640.808,2256.847,12197.8,2862.375,3371.534,765.2814,6544.532,21001.04,11558.12,4142.912,3955.951,7755.586,13011.33,12259.88,13678.03,2061.663,4623.961,22116.72,7600.988,7707.73,13319.76,4180.036,6474.364,16157.09,2037.656,10343.78,15046.48,2702.973,7286.042,13218.75,7748.365,31189.93,5252.926,17011.26,5186.936,2697.156,616.2416,2878.017,2756.071,1143.887,2793.795,3741.53,4730.736,5104.823,16757.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029,18401.56,1453.982,1087.055,6834.492,8903.043,1389.715,26410.4,15725.55,15935.71,1138.17,4807.388,9049.451,2027.96,5273.489,4975.516,18753.56,375.9886,6423.503,7592.605,1525.976,14903.29,2495.899,3947.635,572.2834,7344.172,21423.24,12700.52,4369.687,4844.48,7235.672,14531.75,13974.77,11581.34,1624.193,5427.697,23371.59,5335.625,8085.831,14592.32,5103.673,4504.521,15376.56,2189.167,13190.42,13842.28,2878.043,8220.996,17516.41,9387.48,32488.8,5327.168,15058.92,4224.262,2649.241,92.48,2306.115,2641.775,1844.526,1962.944,3685.767,6498.563,4976.461,17727.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
