ed_gr=1,Neither parent hold BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed_gr=2,One parent holds BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed_gr=3,Both parents hold BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yr cohort reaches HS graduation,,Non-metropolitan portions of states or combined states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ed_gr,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,2,11548.42,5654.942,4145.104,7406.021,35109.79,5830.616,22228.86,20407.28,10591.38,10247.92,6101.854,15791.39,9827.157,16004.67,7542.508,8237.228,5442.989,14404.86,13510.7,5518.344,4784.455,5287.492,6249.317,4831.974,12341.91,19498.34,17020.73,9542.26,19625.26,19698.72,8014.818,13194.12,26859.1,13538.85,13783.86,16276.16,10930.22,10201.9,23395.16,4843.941,4192.368,15347.1,7445.126,10576.65,17242.52,4960.587,26156.93,16139.4,8324.215,44543.91,8352.192,13587.87,15320.46,4795.545,743.2479,5464.838,7753.017,5700.073,9416.204,9933.622,6682.143,7807.588,19878.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,2,9981.549,6061.876,4033.815,6179.568,39063.63,5512.843,24609.34,22459.41,9052.692,8678.077,6298.779,15349.3,6481.648,14702.33,6968.399,9629.947,5489.49,12199.48,12407.32,5561.26,5343.226,6074.757,8618.669,4344.386,14998.96,20037,16514.56,9808.832,21305.91,17192.9,10698.83,13097.64,25414.46,11882.96,12138.12,13771.75,10178.08,6698.612,17877.49,4150.063,3712.688,18012.91,8252.728,11383.63,22742.87,4859.069,24888.48,17914.37,10458.53,47292.06,7491.986,14699.86,12468.3,4388.532,1189.193,6446.187,7981.544,6128.889,9845.08,8942.604,6750.684,7881.64,15368.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,2,11344.79,5687.231,4580.834,6757.682,43268.55,6928.464,25889.77,21284.9,9942.616,9589.165,5708.022,16337.99,8081.418,18247.1,9236.869,10996.07,5209.578,13943.27,12336.66,5565.053,6107.952,5393.462,7681.667,7593.432,14589.1,17344.84,15703.96,8538.543,18574.85,15872.75,8433.668,14949.86,26906.54,12935.63,13619.03,17544.38,10468.76,7464.131,20511.5,6255.998,4023.425,19559.16,8323.008,8134.818,18474.67,5600.776,26226.45,16872.89,11628.86,48952.09,8192.159,15766.06,16855.6,3922.287,1163.077,7764.884,7967.808,6841.187,8898.405,10110.54,8755.477,8367.076,14981.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,2,10258.33,4563.926,4395.078,6173.586,41142.13,6382.72,25034.04,20986.97,9562.445,9197.186,5239.414,14588.24,10763.51,16346.63,9531.651,12089.2,3778.295,13675.75,14037.49,5387.29,6736.049,5289.357,8050.595,4658.462,14021.41,17478.44,17143.98,10927.75,18391.37,17117.48,9720.73,13442.85,25290.29,14785.6,13134.23,16828.41,9751.059,7770.187,22545.87,5329.035,4992.38,19888.13,8417.176,9768.607,16915.13,6783.22,26635.95,14672.85,10239.32,47358.72,6336.08,14298.6,16346.92,6094.432,890.4779,8353.416,8555.045,9514.099,8723.032,9160.934,7730.356,9092.31,17435.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,2,11314.17,5071.699,4088.516,8342.784,36866.75,6212.134,29550.8,21109.37,8364.704,9594.466,6088.557,15070.03,7359.013,16311.1,7662.19,9189.855,5532.513,16021.71,16881.9,5998.196,6443.48,6271.707,6494.04,4555.953,13453.7,19956.78,15171.6,9666.99,19033.99,17468.22,8544.949,13274.64,25766.04,11003.25,15637.1,15360.96,12149.08,6565.155,20134.84,4326.283,3333.565,18350.95,7662.973,11561.7,18477.66,6511.728,23371.97,17207.09,13001.91,46214.57,9208.522,13860.49,12641.31,5400.916,1828.158,5453.088,7659.839,6159.834,9223.46,9894.303,7846.334,7884.96,15117.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,2,10053.23,4772.737,4278.807,6356.806,38783.8,6628.075,25342.63,20481.74,10976.92,9496.173,7006.244,13885.81,9069.292,16117.88,6990.223,10762.95,4914.538,15966.37,12002.7,5063.902,6407.093,6374.577,6478.58,4058.435,15057.93,15162.87,14099.42,9617.574,19880.51,18734.23,9770.65,14358.07,25179.8,11321.12,13902.24,15422.9,9400.168,8123.65,20154.16,4685.004,2875.888,20777.1,8879.271,9791.094,16614.41,5535.92,24366.89,16448.72,11687.66,46469.55,5723.105,15900.07,13539.53,4047.876,846.4045,8423.227,6788.547,7052.213,8330.1,11556.37,8173.871,6989.958,15906.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,2,9509.041,4237.939,4528.344,8334.435,39436.25,6654.782,29361.13,20272.04,8510.717,9332.255,6755.378,18160.76,8967.968,17431.51,8866.096,9980.521,4533.052,12654.97,15492.69,6034.2,7175.391,5754.8,7557.296,5089.466,11810.04,22611.26,15045.68,8905.465,19425.21,20193.79,9295.578,15012.72,25634.68,11737.04,14358.64,16605.99,9436.227,7594.945,22556.75,4234.324,3345.808,19877.06,8980.55,8013.59,18903.5,5118.455,24661.64,16895.65,9450.885,49432.38,5665.525,17003.43,12249.17,5107.433,969.1708,6934.247,8487.728,7073.026,10640.82,9083.933,9641.995,7876.617,19313.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2,10870.65,8077.651,4634.639,7635.331,36174.7,8568.098,29796.66,20379.94,10268.62,9686.456,7780.777,14195.76,10111.01,18083.71,9931.952,9935.593,4616.471,17793.83,15180.52,5942.408,5749.401,6755.887,6999.816,5014.835,12704.03,18765.11,16915.68,8391.034,20205.79,19400.86,12505.8,15384.05,27925.49,12818.75,13465.06,16859.29,10855.68,9960.896,20940.54,5403.687,4058.591,21168.74,9312.304,12078.42,19587.49,6464.852,21183.85,12536.43,9323.474,52360.26,6499.574,17576.88,15947.53,5974.998,1824.831,7505.724,7005.362,6374.597,8835.675,10751.89,6738.659,7689.368,14646.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,12603.24,5142.767,5769.129,9742.342,43286.86,8639.114,27299.89,19660.14,11812.26,10409.66,6588.971,13312.44,9277.518,18668.83,8338.663,12127.67,5889.252,16052.92,15549.41,5139.523,6265.194,7119.444,8975.629,4333.009,14494.31,20279.42,22182.74,8953.682,21707.24,19387.04,10438.25,16872.93,29547.2,13180.85,11913.9,15934.08,12192.97,8720.221,24895.73,5062.958,4850.323,21582.29,9072.884,9716.138,20772.59,6938.391,29458.3,14317.11,11576.23,54378.81,9869.256,18395.15,16059.16,5349.368,1295.694,6182.812,7688.341,6071.104,10867.46,9357.129,8166.953,8916.122,15152.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,13810.6,5597.075,5276.409,8936.83,45853.84,7844.506,31027.48,22759.03,10588.99,12100.74,8093.312,16556.91,11187.92,17687.98,9528.793,9996.523,4784.736,16108.05,15658.53,6111.032,8366.396,7208.307,8256.862,5201.23,15589.18,21031.01,17376,9963.762,21065.54,19369.79,11443.53,16784.59,32586.74,14201.8,14091.99,18020.32,12692.13,8196.847,25030.81,7022.301,4238.832,21795.25,8235.454,10657.57,16806.21,5667.37,28901.22,17665.64,9759.377,54186.07,9779.836,19062.93,15037.08,8101.245,1288.017,7357.697,8479.858,7765.885,7636.267,10795.18,6626.491,9201.26,15085.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,2,13235.13,4582.28,4190.708,8812.048,38142.42,8536.597,29126.44,21841.17,9824.036,9879.714,6476.598,14471.38,11520.78,15037.61,9812.171,10897.58,6822.18,18057.78,13458.95,5621.319,7727.771,6733.616,6808.714,5695.234,11952.4,18851.38,18708.39,10540.15,19326.03,22450.43,10571.75,15437.82,31436.66,12519.64,16261.52,18747.67,11423.87,9267.508,24865.68,5647.247,4306.435,19984.7,9196.771,10792.1,18556.42,6314.416,27160.87,15984.34,9634.57,57066.11,7042.143,18842.46,15265.48,6988.94,2218.121,7723.098,8276.762,6541.778,9552.178,10103.75,8867.591,8041.773,15556.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,12386.58,5914.077,6373.498,7713.038,37574.97,8480.826,28503.49,21074.05,8572.619,9616.646,7340.321,17205.39,10835.76,17049.17,9432.831,11944.7,5500.98,21391.13,14146.14,7070.453,6235.451,8447.655,7773.342,5521.292,16573.9,21003.33,20164.97,8278.277,18628.49,19680.31,14668.18,18011.19,30535.66,12303.81,16099.77,18816.3,10915.63,9921.22,23745.45,4714.66,4707.869,22643.07,9550.287,12827.96,15479.49,6572.115,24661,16764.15,11208.92,51115.27,9206.116,17061.1,17327.22,5362.083,951.764,5416.502,7156.063,7634.614,11057.96,9423.951,8317.788,8696.24,18977.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
