id,name,enrollment
18557,2024 Fall - PPC 3150-1 - Topics in Theatre History: Shakespeare,22
18558,2024 Fall - LGST 8065-1 - Immigration Law,14
18559,2024 Fall - ART 1540-1 - Painting I,13
18561,2024 Fall - ART 3540-1 - Painting II,2
18562,2024 Fall - LGST 8495-1 - Graduate Legal Capstone,9
18563,2024 Fall - ART 5540-1 - Painting III,1
18564,2024 Fall - GED 7050-1 - Student Teaching Seminar,28
18565,2024 Fall - PPC 1130-1 - Dance I,13
18566,2024 Fall - WRIT 8000-1 - MFA Core,18
18567,2024 Fall - PPC 3800-0CR - Dance Ensemble,0
18568,2024 Fall - WRIT 8125-1 - Creative Nonfiction Workshop,6
18569,2024 Fall - PPC 3800-2CR/0CR - Dance Ensemble,14
18570,2024 Fall - ART 1100-1 - Introduction to Digital Media Arts,15
18571,2024 Fall - REL 1100-1 - Introduction to Religion,39
18572,2024 Fall - ART 1100-2 - Introduction to Digital Media Arts,14
18574,2024 Fall - ART 1120-1 - Fundamentals of Design,20
18575,2024 Fall - MGMT 1200-1 - Business & Society,35
18576,2024 Fall - REL 3000-1 - Searching for Religion: The Quest for Meaning from the Church and Mosque to the Movie Screen and Concert Stage,15
18577,2024 Fall - FIN 310T-03 - (ST) Core Financial Management,0
18578,2024 Fall - ART 1130-1 - Drawing,16
18579,2024 Fall - REL 5900-1 - Religion Colloquium,3
18580,2024 Fall - ART 1460-1 - Web Design I,16
18582,2024 Fall - SPAN 1110-1 - Beginning Spanish I,13
18583,2024 Fall - FIN 311T-01 - (ST) Advanced Financial Management,0
18584,2024 Fall - ART 1130-2 - Drawing,15
18585,2024 Fall - MGMT 3100-1&2 - Foundations of Management,58
18586,2024 Fall - SPAN 3210-1 - Intermediate Spanish I,15
18587,2024 Fall - MATH 385T-01 - (ST) Math Meths/Numerical Analysis,1
18589,2024 Fall - ART 1150-1 - Art Foundations,16
18590,2024 Fall - MGMT 3100-2 - Foundations of Management,0
18591,2024 Fall - SPAN 3350-1 - Advanced Communication in Spanish,14
18592,2024 Fall - ART 1300-1 - Creative Coding,14
18593,2024 Fall - MGMT 3130-1 - Business Law,31
18594,2024 Fall - THTR 350M-01 - (MC) Directing for the Stage,1
18595,2024 Fall - ART 1420-1 - Digital Video I,13
18596,2024 Fall - MGMT 3130-2 - Business Law,23
18597,2024 Fall - SPAN 3910-1 - Spanish for the Professional,15
18598,2024 Fall - THTR 285M-01 - (MC) Costume Design,1
18599,2024 Fall - MGMT 3710-1 - Operations Management,20
18600,2024 Fall - ART 1450-1 - Graphic Design I,10
18602,2024 Fall - BIOL 105T-03/55 - (ST) Human Biology,1
18603,2024 Fall - ART 1470-1 - 3D Experimental Animation,9
18604,2024 Fall - MGMT 3740-1 - Organizational Leadership,17
18605,2024 Fall - ACCT 317T-01 - (ST) Cost Accounting,1
18606,2024 Fall - SPAN 5210-1 - Spanish Children's Literature,9
18607,2024 Fall - GEOG 321T-01 - (ST) Geographic Info Systems,2
18608,2024 Fall - MGMT 3960-1 - Internship with Seminar,16
18609,2024 Fall - ART 3440-1 - Art and Emerging Technologies II,1
18610,2024 Fall - MODL 1010-1 - Fundamentals of Linguistics,23
18611,2024 Fall - FIN 314T-01 - (ST) Intro to Financial Technology,1
18612,2024 Fall - MGMT 5860-1 - Strategic Management,26
18613,2024 Fall - WRIT 1500-1 - Intro to Creative Writing,15
18614,2024 Fall - ART 1490-1 - Digital Fabrication I,13
18615,2024 Fall - MATH 128T-02 - (ST) Intro to Discrete Math,1
18616,2024 Fall - WRIT 1500-2 - Intro to Creative Writing,19
18617,2024 Fall - ART 1480-1 - Digital Audio I,11
18618,2024 Fall - MGMT 5860-2 - Strategic Management,16
18619,2024 Fall - FIN 402T-01 - (ST) Adv Topics in Risk Mgmt & Insu,1
18620,2024 Fall - WRIT 1500-3 - Intro to Creative Writing,19
18621,2024 Fall - ART 3480-1 - Digital Audio II,3
18622,2024 Fall - MKTG 3100-1 - Foundations of Marketing,35
18623,2024 Fall - ACCT 410T-01 - (ST) Advanced Accounting,2
18624,2024 Fall - WRIT 1500-4 - Intro to Creative Writing,16
18625,2024 Fall - ART 5480-1 - Digital Audio III,0
18626,2024 Fall - PHIL 3970-SK - Independent Study: Advanced Values and Objectivity in Scientific Research,1
18627,2024 Fall - MKTG 3100-2 - Foundations of Marketing,34
18628,2024 Fall - WRIT 1500-5 - Intro to Creative Writing,18
18629,2024 Fall - ART 1500-1 - Printmaking I,10
18630,2024 Fall - EDU 5880-P1 - Preparing for a Career in Education,2
18631,2024 Fall - MKTG 3740-1 - Consumer Behavior,35
18632,2024 Fall - WRIT 3120-1 - Forms and Elements of the Craft: Fiction,17
18633,2024 Fall - ART 3500-1 - Printmaking II,4
18634,2024 Fall - JAPN 111T-02 - (ST) Elementary Japanese I,1
18635,2024 Fall - WRIT 3130-1 - Forms and Elements of the Craft: Creative Nonfiction,11
18636,2024 Fall - MKTG 3730-1 - Digital Marketing Strategies,36
18637,2024 Fall - ART 5500-1 - Printmaking III,1
