Yr cohort reaches HS graduation,Non-metropolitan portions of states or combined states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,14628.39,6528.273,6299.759,11935.13,75267.49,8317.89,22078.87,21119.91,10965.41,9988.436,7277.45,16892.07,9129.563,18996.29,11350.37,12238.38,5872.784,16155.62,15078.82,6740.298,7758.717,8714.139,11624.09,7276.694,14698.82,19459.44,17245.16,13810.48,28559.93,19237.42,9466.874,17918.8,45048.49,11577.59,14157.66,14386.34,12854.42,7021.864,20888.49,5282.776,4159.966,26376.7,9837.182,8998.548,27121.32,6670.503,42114.48,12764.1,10936.38,43166.82,6436.156,14940.62,17652.88,4443.208,1354.75,9424.746,13028.02,8709.179,12192.56,14740.73,6728.626,7196.226,15002.98
2029,14762.03,5250.766,7413.006,11314.89,74873.96,8625.509,22636.32,20366.61,11231.85,10444.93,7792.267,17116.16,9669.592,18357,10256.74,13717.56,4559.87,17097.68,13801.4,6785.166,9885.4,8571.734,11173.78,7949.233,15544.03,18638.58,18544.71,13380.69,29834.39,19776.37,9934.085,19497.4,46583.37,12820.95,12889.15,16151.37,10993.38,7261.4,22164.77,5285.178,4277.149,28058.15,9645.033,9597.908,26708.48,6280.192,43373.96,13421.62,10957.78,44909.6,6923.437,15922.4,17860.15,4217.59,1141.628,10329.56,13026.93,10445.27,11383.74,14262.2,6822.182,7436.442,14673.33
2028,14316.36,5966.013,7075.755,10880.23,78475.7,8719.688,23605.57,21121.53,11013.44,10883.4,7896.772,16871.47,10110.39,18883.81,11975.97,14458.73,4811.837,17801.37,16186.41,6358.797,10068.48,8255.17,11995.33,9075.688,15952.36,20728.16,18782.27,13580.33,33009.78,20049.77,10391.78,19480.74,49418.33,13392,14384.13,14787.47,11194.55,7390.22,22691.34,5116.314,4033.693,26514.29,9346.202,9384.325,30146.68,6486.442,46084.77,13051.45,9894.882,45572.39,6239.943,15886.45,18532.96,4239.556,989.6279,9885.26,12758.26,9988.955,13085.44,12903.06,7589.875,7530.933,14049.23
2027,15100.08,6883.372,7855.366,11836.16,79825.33,8915.66,23614.21,21978.48,11731.73,10273.94,8193.741,17123.4,10240.35,19166.34,12676.8,15506,4688.875,17690.62,15336.91,6469.82,9526.923,9690.609,12301.11,7471.212,15840.5,19854.21,19860.22,15076.53,33125.91,21120.59,10643.16,20476.2,49815.03,12970.53,15496.53,15536.05,11935.35,7586.861,21097.73,6374.382,4301.836,29953.79,9874.307,9680.975,29093.2,6837.623,47143.06,13657.34,10655.36,47096.36,6213.048,15866.9,19680.09,4114.601,1220.878,10756.74,12597.24,9372.083,13633.41,13282.98,7148.768,7521.861,13966.25
2026,16489.91,6759.3,8830.689,12179.33,86618.29,10586.4,23989.26,22851.19,12460.25,10457.5,8589.751,17373.51,10765.18,21052.61,12185.16,17300.52,6204.625,18314.47,15579.54,6730.692,11064.46,9019.515,12248.01,7547.574,15778.87,20226.73,21447.55,15576.41,31411.15,20736.24,11103.81,22222.81,52368.28,13330.95,13815,14678.89,12103.14,7280.368,25347.03,6523.31,4874.96,30801.61,10185.94,10503.56,28794.94,7153.42,51771.64,13213.1,10404.65,48603.9,7267.958,17488.63,20327.01,4725.636,1458.573,10273.47,13161.98,10583.12,13867.37,13525.46,8773.954,7659.712,15134.17
2025,16361.66,7243.006,8150.769,11696.79,88774.55,9424.26,25478.64,21387.39,12539.97,11422.87,9198.618,18612.95,11024,21510.2,13031.34,16140.36,5079.009,19553.21,16459.98,7418.397,11673.69,9922.941,12685.77,9193.273,16203.93,20963.68,20084.45,14850.06,35107.34,22424.99,10922.16,22172.75,56142.67,13387.85,15021.2,16044.39,11989.53,7830.503,26453.09,6299.861,4529.49,31389.55,10227.06,10043.39,30331.26,6488.691,53612.32,13545.74,9861.813,53040.48,7044.29,17106.33,21767.77,5441.453,1523.329,11165.29,12298.33,12221.39,14505.1,13582.96,7708.331,7338.729,15290.05
2024,15955.52,6608.783,8355.821,11939.95,88515.3,10445.84,22418.28,22676.56,11378.89,10460.38,8874.558,17015.26,11399.59,19245.36,12594.25,15478.53,6652.67,20470.17,14795.61,6104.009,11425,8529.041,12830.66,8441.57,15308.7,21044.1,20639.53,15953.41,34315.88,22201.47,10151.52,21375.77,53763.36,12968.92,15602.15,16014.33,11726.99,7340.147,26214.08,5602.013,4983.44,29657.23,10176.99,10719.36,28186.65,6445.628,51437.22,13359.9,9516.262,49251.83,5978.941,17925.83,19309.73,5252.956,1377.3,10730.28,12203.84,11033.95,13983.47,13826.75,7821.772,6916.08,13334.22
2023,15814.49,7341.663,7833.079,10385.63,84215.43,9666.829,24345.82,20235.59,10887.63,11355.18,9207.753,17513.5,10837.49,19727.17,13316.73,15851.46,6536.729,20323.07,14547.64,7113.527,9432.591,9152.409,10079.31,8215.44,17592.62,20053.92,20478.84,13607.7,30867.55,21536.64,11621.49,21506.12,52883.62,13229.62,14438.45,14893.7,9480.688,7217.988,24382.67,5684.391,4585.802,32194.06,9963.021,10900.16,29861.98,7416.319,52759.12,13887.64,10677.5,53683.62,6289.624,16510.95,20764.86,4947.735,1339.328,9780.938,13261.94,11755.53,13388.79,14154.21,8098.845,6936.722,14204.17
2022,14841.59,7488.227,8402.768,12144.37,86382.12,9414.456,23624.08,20941.04,11666.31,10485.59,8775.832,17898.5,10097.86,19545.29,11155.8,16573.39,5325.722,19931.1,16116.04,6532.121,10675.61,10146.21,11998.15,8388.496,16296.93,19924.73,21350.52,14438.69,32493.72,21547.69,9983.869,19932.29,51718.02,12151.75,14826.99,14281.57,12133.48,6406.837,25495.6,5621.375,4506.53,30085.38,9367.778,10702.58,27757.43,7031.325,53804.61,14206.41,10464.42,50927.23,5932.537,16860.25,17660.18,4806.906,1917.271,10010.53,11634.53,13410.8,15000.49,12539.07,8608.459,6997.77,13100.79
2021,15328.55,6863.529,7750.89,10766.5,84446.73,9977.02,23719.45,19920.79,12638.27,10252.92,10041.42,18368.58,10406.56,19797.17,11947.22,15362.44,6028.69,19156.25,16583.88,6518.149,11176.88,9052.138,11764.5,7420.198,18081.11,19527.36,21384.44,15649.94,34043.58,23646.38,9952.888,23031.43,53048.57,13513.73,14751.26,15160.53,12335.38,6903.327,23681.81,5166.856,5105.028,30003.72,10594.01,11123.94,30123.46,6325.265,52411.77,12756.08,9719.146,49324.06,6699.94,17390.49,17850.01,5460.099,1511.976,9544.072,12455.08,12732.27,13057.46,11736.25,8931.451,7308.538,12961.63
2020,16362.81,7274.132,8228.609,12632.7,80892.74,9377.979,24631.4,19067.67,11762.42,9645.969,8463.42,17581.88,10779.99,17852.32,13394.05,15093.37,6594.296,21682.98,15084.51,7576.101,10438.93,9148.416,10804.06,8087.353,18204.91,19388.63,20675.53,15303.78,32467.35,22527.92,9776.139,20458.56,51266.14,12226.24,15730.61,14485.12,11303.13,5881.129,23993.15,5556.349,4588.994,27941.93,8937.188,9570.671,26182.72,6778.601,54898.84,12042.77,10661.74,49275.33,5455.639,15258.02,16007.02,4623.946,1459.043,10222.42,11989.36,11298.53,14620.5,12557.1,7764.381,6259.299,11663.38
2019,14583.82,7320.845,7754.868,10714.6,86146.27,10449.32,22838.48,20765.1,11261.67,10842.8,8993.714,16930.78,10782.48,20195.26,11517.85,15916.5,6681.15,19956.69,17431.18,6298.815,11229.66,7966.262,10835.28,9021.652,17331.4,19706.69,21656.47,14005.5,33143,22236.33,10105.31,21063.89,50818.22,13149.19,14892.15,13949.56,11796.18,6763.705,26048.3,5345.604,5005.885,30586.96,9498.052,11349.15,27931.16,6699.55,57944.38,12836.35,9886.771,52689.55,6358.844,15362.85,18562.02,5705.246,1713.109,9676.75,10998.29,13017.42,14738.59,12365.48,9553.688,6511.672,12158.21
2018,16487.77,6660.652,7919.511,11182.51,83966.42,9590.365,22902.89,19038.01,10944.28,9298.191,10324.97,17455.86,10380.47,19102.46,12601.69,16764.13,5478.383,20754.27,15192.34,6891.311,9697.276,9377.938,9990.712,7183.619,19282.13,20111.07,22234.01,14624.43,33797.28,24306.97,9968.376,22497.21,52229.51,10876.06,14346.95,13657.33,11677.85,6144.716,26046.83,5244.949,5211.888,26291.15,8463.118,10380.27,26576.82,6836.906,57119.2,12864.19,10460.22,50941.36,5265.11,16888.41,15696.59,5370.244,1868.437,9448.198,10954.33,12336.67,14021.14,13365.35,6856.304,6774.795,11109.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attend four-year post-secondary institution in the fall after high school graduation as first post-secondary institution of attendance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,25730.8,12749.74,9986.093,16563.76,103062.3,14754.61,62695.85,52394.14,25021.26,17792.33,17973.42,34716.07,23714.03,35124.33,20139.48,19922.61,8158.586,32715.06,31671.52,11400.64,13327.41,13749.07,18580.93,9489.997,34785.19,49767.91,42758.2,20107.17,41187.25,48787.52,27506.88,36422.61,83010.24,26555.26,31397.63,39526.05,42168.74,18472.5,54417.05,13365.09,12740.51,51454.91,20730.12,27760.34,61311.52,12090.53,49776.4,44034.78,25227.02,122899.4,17835.59,39051.73,31177.73,14950.17,4151.357,13966.52,20337.78,16487.01,29193.19,26363.7,17126.54,18447.23,48916.32
2034,28055.31,13861.16,9764.079,16517.25,90091.09,15323.68,60733.2,57340.1,25572.5,17757.28,17621.01,40755.15,20897.84,36725.41,20061.73,20988.21,9783.344,40273.02,33043.13,12447.26,13406.91,14261.76,17693.62,9378.121,34288.99,49728.33,45570.78,18832.45,42061.57,52734.02,25240.51,37286.76,66870.55,27541.25,32520.3,43652.65,37552.84,23844.02,59444.09,14697.4,11215.78,49236.9,20540.47,29105.18,52127.23,13094.76,63916.6,40983.62,24519.77,139231.9,17108.64,41213.67,33490.09,12610,1814.593,12766.22,17761.54,15696,25948.17,26597.28,19052.28,18554,51917.61
2033,27474.82,10918.12,10273.54,16328.99,93513.25,14910.22,67106.13,54994.11,26711.49,17868.99,17016.89,39549.33,19788.03,35201.71,21223.51,22683.18,11461.38,40422.5,33597.93,13323.28,14069.76,15865.38,18310.88,8585.101,37261.32,50615.88,40907.37,21494.15,43752.37,45615.45,26704.73,37024.38,69614.9,24196.8,31929.87,42500.67,36338.07,20576.24,57368.5,13748.28,11335.53,54304.83,21114.75,29460.99,56032.64,12561.89,61304.26,42712.89,30256.2,144783.8,17931.99,42964.37,33681.65,10183.97,2502.768,13214.08,17734.5,16896.99,23557.82,22868.3,16337.12,19121.26,47399.01
2032,28761.92,11345.98,11601.44,17696.93,91705.82,17014.15,67373.44,55527.88,26548.82,19069.82,18137.71,39453.94,19133.74,36813.79,22265.37,24763.37,12245.3,37090.48,31872.17,13033.22,14818.36,13680.48,18428.44,12217.45,37690.63,54618.46,46049.69,19260.44,44421.01,51930.87,24970.3,36949.82,70842.77,25571.31,31851.92,43875.48,33431.86,22145.78,63696.01,15969.73,10866.62,58457.79,20478.97,27325.2,55859.61,15620.55,64328.95,42044.72,26955.06,145703.8,19714.7,46941.63,34447.89,12733.07,2410.928,14177.93,18685.61,18629.79,28021.16,27117.78,19176.39,20954.52,49690.7
2031,28418.03,11285.25,10807.66,16407.5,88860.51,16754.75,68694.61,50464.73,25963.9,18953.95,16234.62,34815.39,21101.4,35644.83,22602.62,25604.5,9844.684,39706.55,35775.83,12979.4,16370.86,15412.06,18240.79,10544.22,35217.16,49181.28,49428.86,21432.81,41991.35,50065.52,26548.83,36834.46,72316.01,26349.22,33001.4,42633.42,36831.35,20811.78,59272,15770.98,13671.23,54225.16,19669.49,27557.04,51271.36,14952.56,62787.25,41517.22,26121.03,151558.8,17739.98,41205.72,34687.29,12977.57,2212.192,14305.15,17449.48,20991.91,25668.45,23711.55,18281.97,18962.84,54183.48
2030,27871.08,11265.23,8874.569,17257.77,82176.73,15404.1,65443.79,52863.8,24996.87,16968.86,15999.68,38991.39,18793.36,36949.39,20932.17,19976.17,11735.46,37757.96,35504.81,13188.51,13200.06,15028.52,16138.88,9676.076,35837.77,55373.57,43027.58,19977.89,37838.88,49408.13,24077.71,34259.85,65987.48,22637.17,38009.59,41378.44,37463.75,20727.55,57987.29,13922.3,10880.86,49744.74,19924.23,26579.07,47745.7,15039.74,57313.53,38381.27,27943.64,131660.5,19790.39,41306.55,28847.93,12619.94,2853.906,12547.82,19786.7,14782.08,25115.98,26786.97,15652.85,19369.44,49967.5
2029,26328.56,9312.04,10507.69,15900.21,83043.26,15862.66,68208.34,52556.83,27479.68,17935.35,17356.45,40513.95,19177.24,34799.11,17885.25,21587.25,9902.456,40943.13,32228.91,12832.79,16041.82,14857.06,17314.66,10657.59,36932.63,47768.41,44708.88,20981.07,40422.15,50470.67,27968.86,36776.57,67344.69,24217.69,31595.29,43150.29,32032.17,21103,59342.11,14378.13,11221.78,52853.99,21119.55,26414.34,46737.73,13787.29,56852.5,40133.13,28560.6,139532.3,19513.45,43799.42,29574.75,11485.95,2077.395,14236.43,17890.42,16072.94,24582.26,25757.03,15950.06,18776.54,50753.11
2028,27465.46,11436.94,9482.156,16485.14,85379.35,16216.87,72023.7,53829.72,25579.39,17782.25,18071.88,39518.15,21122.15,36736.15,21834.12,21959.47,9734.021,41683.13,36111.03,12595.01,15651.37,14255,17417.28,10153.22,36705.82,55018.62,44806.59,18997.6,41140.34,49744.73,27313.77,35427.12,68370.34,25986.01,34480.2,43089.39,32275.76,19737.78,62563.04,13877.8,9973.763,50200.01,19485.56,25679.59,52151.98,14454.16,59729.74,43054.76,27295.55,139149.9,17739.77,45920.63,31132.04,11564.9,1947.373,13905.45,17302.64,16260.25,25170.87,23466.43,18596.08,20803.4,50989.71
2027,27551.28,12037.24,10319.21,17692.58,84711.08,16537.65,69381.55,57803.26,27850.04,18103.64,19202.93,38383.08,18967.09,38430.91,22212.23,23439.68,10115.4,43325.29,36733.88,12027.01,14261.76,16673.23,17387.31,9858.783,36288.22,52863.35,48601.64,22091.59,40539.66,52507.43,29260.46,38079.55,70716.23,24229.47,36664.07,44470.11,36764.04,22261.99,58155.09,16692.03,11878.71,56994.68,19922.98,28289.53,50079.15,15983.56,60621.27,41887.59,26750.3,142741.3,19093.67,47079.16,32026.94,12460.82,2432.314,14237.71,16932.35,14580.02,25188.23,23318.69,17146,20322.26,48913.81
2026,29578.55,10543.24,11522.7,17480.35,90427.7,18112.17,71279.12,55567.33,29406.88,18284.13,19494,38701.25,22623.93,39777.75,21895.7,25774.84,11666.58,43225.94,35547.33,13232.08,16051.04,15164.79,18472.45,9889.305,37285.3,52506.18,51027.43,21433.67,38516.96,49108.91,30023.87,39946.78,72265.41,25802.36,34551.07,45768.56,36108.37,21642.97,66309.99,17358.77,12314.3,57268.93,20840.44,29979.02,50842.35,15077.17,63235.48,42471.32,27754.42,152395.3,22132.6,50180.95,32076.39,13370.45,2982.651,13240.66,17105.34,14345.52,26976.93,23134.54,20248.84,19897.78,50704.73
2025,29026.46,11267.71,11014.02,17465.46,89357.41,17030.15,77933.2,57398.74,31410.71,19103.42,19729.65,42052.75,21746.88,38424.03,22131.04,24950,11311.38,44083.04,37302.05,13472.62,18290.52,16531.37,18036.5,11154.14,36034,57604.27,49536.67,21154.75,41817.38,50527.35,29382.75,38859.73,74460.34,25017.42,36341.7,45961.21,39409.21,23829.39,68908.15,17874.55,12037.91,58199.41,21084.22,27527.4,52599.65,15324.38,62204.86,44953.07,28603.93,157567.5,22851.18,49709.47,34577.87,14984.32,2970.354,15555.25,17428.41,17883.62,27429.38,23043.84,17363.44,21152.85,54430.77
2024,30502.07,10185.39,10882.28,16651.51,87932.9,18775.41,66745.15,57160.56,29533.68,17454.29,19218.29,36796.18,21248.51,34098.42,22314.08,24181.33,12381.83,44405.61,34598.37,11506.68,17623.43,14048.06,16692.69,11357.19,34909.73,54780.93,50345.21,22634.45,38197.35,51599.78,27812.35,37759.88,71476.16,26765.49,37370.27,49068.13,37748.61,22722.96,70213.05,15250.84,14245.5,52355,20745.69,30079.37,48143.85,14707.77,61018.23,44166.32,25192.91,149254.7,15362.61,51246.17,32401.72,15174.04,2868.319,14419.78,16521.52,15256.23,24876.25,22732.83,17288.07,20185.37,50788.4
2023,29370.86,12064.76,10707.44,15045.08,82185.24,16658.79,73297.14,52716.75,26809.46,19311.23,19056.28,41022.76,22301.27,36558.16,24237.12,24042.49,12759.26,46998.77,33965.54,11900.74,14911.05,15593.87,15215.95,9954.063,40103.33,54727.53,50402.87,19688.69,35623.88,50414.93,32747.69,38738.92,71863.98,24669.59,37545.57,49300.45,31678.54,23643.12,65748.53,14969.15,13233.74,60397.03,21802.95,32639.97,52241.65,16135.91,59090.61,46684.73,28613.43,154492.6,20831.56,46234.42,34171.21,13355.12,2574.246,12813.48,17024.4,17168.44,27451.94,23092.3,19235.41,20512.15,51802.06
2022,26829.75,10992.7,10776.58,16768.02,82578.46,16352.59,72506.41,53604.71,30277.07,18046.46,19681.36,42728.71,17935.13,35500.52,18657.49,25464.79,11847.31,47085.37,38763.08,12372.54,17506.24,16086.11,14912.95,10463.72,37757.89,54397.76,49984.2,19734.72,35404.29,49143.62,28600.41,35085.19,66025.72,23194.62,33285.12,46731.41,36959.34,20598.48,66893.88,15789.5,12878.12,52944.18,20299,31416.93,50681.53,16234.11,65554.34,44447.55,27456.74,151113.3,18242.4,50830.35,30932.79,14206.06,2927.043,13343.18,15803.6,17472.42,27003.8,21835.33,21305.74,20608.46,52790.95
2021,28231.46,9251.068,10803.49,16076.96,76675.83,17261.32,72759.95,52102.26,32653.96,17786.65,21714.88,40673.56,20104.1,37238.03,21587.58,23112.9,11842.82,44450.16,37057.85,11718.22,15659.47,15217.61,15514.28,8777.529,41413.71,55037.14,50825.5,22341.64,38018.88,52952.29,27689.93,40127.07,67351.45,25134.22,35354.2,50479.3,39943.29,21916.18,63530.15,14792.63,13781.31,52775.24,22844.15,30734.99,52945.45,16104.37,60191.5,41808.62,26995.13,147288.5,22418.59,47810.77,29711.77,15345.28,3023.893,12993.9,16116.25,16289.29,24384.46,19357.32,19880.12,19127.39,52174.31
2020,29484.68,10670.16,10844.08,16639.92,75745.67,16348.17,75892.3,52087.41,29309.53,15178.41,19655.51,41368.47,20161.48,33451.71,21708.04,22723.31,11977.15,46699.45,35908.94,13924.05,15603.72,15542.2,15462.44,10081.73,40033.68,53311.48,48297.66,21884.38,34846.49,51287.57,28597.32,36077.83,64575.7,24015.73,37121.77,51264.55,36706.75,19743.12,62635.11,15661.04,13398.46,51224.3,20169.27,30487.75,45341.7,15737.23,61870.46,42908.86,28376.47,144579.2,19057.04,45822.68,29843.94,12970.42,2613.193,14209.84,16296.83,16145.81,24878.68,19328.15,18318.97,19589.18,47238.95
2019,25891.74,10193.67,10493.32,15271.44,77084.71,17843.6,74963.43,55362.61,28305.63,18347.06,19972.43,40345.75,20233.77,34334.38,21613.29,25644.65,13736.68,47095.14,40164.39,11138.74,17248.47,13672.62,14850.53,10705.9,40746.84,57584.93,50480.46,20517.78,36390.24,46270.13,30211.51,35939.36,65339.03,25493.84,34291.46,49280.16,38722.5,24015.91,71875.99,17136.9,14307.46,54218.89,22023.04,34198.25,50959.23,15975.79,64143.84,43225.58,27134.12,153461.1,20484.52,47095.81,31682.9,17579.93,3174.815,13335.2,15229.31,15938.23,26383.19,20872.12,22356.14,21478.35,54668.98
2018,30681.63,9644.928,10233.9,16459.43,74705.7,17255.61,72293.66,53317.5,30014.06,17507.21,22097.04,39842.45,19662.83,37250.2,22755.87,25847.32,11556.07,46295.83,35373.43,13091.71,15483.32,17016.29,16131.96,8581.549,44330.79,54296.44,53271.91,21800.26,34745.48,52555.93,29215.7,39261.28,70480.09,22313.66,36133.46,49482.05,38243.25,20837.21,70164.75,17988.1,14512.75,52200.43,18597.89,30587.44,46866.34,16163.49,65217.49,41228.57,30562.05,149473.3,18884.66,51745.67,28350.09,15150.61,2647.748,11861.97,13985.88,16793.07,24889.33,22107.37,17683.2,21208.58,48511.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual-enroll at post-secondary institution while still in high school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,12216.8,5251.347,5010.313,9142.044,38946.9,6911.368,21465.5,18563.01,8916.677,9117.052,7811.516,16347.53,13451.35,21623.54,10029.84,10926.31,2313.841,8900.972,14689.33,6737.469,6950.677,8500.836,8186.714,5255.687,14761.15,16863.96,19683.65,12308.02,17548.55,19792.87,9118.146,16852.33,37419.83,13575.48,14898.57,13263.68,9205.436,6392.91,19341.21,5798.686,4578.203,20580.77,9137.407,10563.81,22635.77,6734.563,16769.49,10680.74,11712.38,36722.93,5932.889,13816.6,14416.17,5085.693,1026.935,5166.524,9359.824,5451.823,8066.782,9730.457,8144.015,6512.197,14715.04
2034,12558.58,5510.634,4901.704,9593.635,35836.61,7184.711,21181.27,19973.35,9149.137,8923.503,8493.085,18791.11,12736.4,21446.86,10233.93,11345.83,2602.61,10128.04,15247.28,7572.088,7042.616,8652.198,8095.91,5175.011,15046.91,17356.47,20826.78,11567.14,17986.01,22436.08,8606.335,17727.88,34683.95,14186.1,15999.63,13989.44,8295.436,7223.939,20976.38,6086.298,4385.552,20412.07,9191.72,10711.01,21305.15,6874.861,19959.66,10717.69,11992.81,41294.72,5703.259,13866.46,14899.21,4975.253,559.0709,5010.002,9149.576,5460.229,7497.29,9792.573,9168.499,6535.169,14943.99
2033,12507.87,4538.329,5084.835,9399.792,37911.48,6970.444,22651.72,19571.23,9438.625,9193.581,8424.725,18426.38,12645.16,21388.46,10989.09,12786.44,2945.648,9962.055,15738.12,8070.552,7239.031,9462.482,8573.328,5094.069,15986.4,17498.3,19548.13,11723,19066.23,19883.47,9343.907,17913.08,36517.37,13018.19,15676.63,13265.81,7549.778,6618.214,20250.5,5823.803,4190.526,22108.45,9170.319,10723.26,23367.2,7014.941,19533.13,10778.42,13612.37,41887.02,5689.111,14988.38,14799.24,3962.571,776.2413,5148.453,9443.15,5520.788,6812.915,8526.983,8090.06,6615.196,14382.43
2032,13475.05,4684.417,6088.995,10228.05,36672.92,8121.794,23471.31,18906.29,9271.426,10091.66,8797.033,18881.07,11793.46,22725.26,11395.51,14368.06,3091.964,9385.906,15106.01,8497.245,7585.429,8440.681,8511.753,6179.047,17150.51,18375.61,21952.2,11331.1,19044.34,22130.54,8736.885,18261.7,37445.67,13824.25,15691.2,13270.6,6780.138,6901.205,21947.86,6218.053,4162.759,22666.85,9069.846,10202.26,22077.54,8012.225,20235.71,10285.56,12580.2,42926.75,5764.846,15298.05,15489.21,4611.137,712.4558,5290.999,9645.758,5948.359,7736.688,9575.905,8843.05,6780.437,14549.47
2031,13069.18,4572.743,5527.129,9610.486,36159.61,8227.957,23355.96,17925.62,9346.124,10049.49,8257.566,17024.64,13566.34,22099.78,11794.83,14553.82,2592.825,9936.316,16446.56,8195.408,8376.254,9937.073,8616.741,5578.471,15858.14,16769.68,23028.05,12319.71,18632.35,21364.29,9132.99,17500.24,39044.46,14276.98,16213.06,13039.07,7145.596,6339.757,20625.9,6313.401,4902.752,22276.39,8730.772,9919.283,20757.84,7922.361,19814.49,10185.21,12347.38,43716.7,5360.619,14038.75,15433.04,4952.786,630.7806,5324.119,9275.188,6391.635,7056.305,8767.381,8977.414,6212.601,14978.67
2030,12890.38,4701,4718.203,10918.57,34671.39,7858.515,22135.01,18283.05,8683.82,9274.248,8136.016,18666.14,12269.14,23560.52,10629.93,11570.85,3039.042,9324.203,16722.34,8569.165,6692.813,9618.013,7973.65,5511.727,16162.43,18690.79,20222.22,12476.37,16808.67,21180.73,8523.615,16774.93,34953.13,12327.04,17780.22,11788.36,6994.908,6177.956,19926.91,5455.914,3880.936,20152.3,8781.665,9210.991,19535.11,7905.327,18288.94,9513.573,12906.07,39067.36,5226.295,13660.05,13027.36,4502.186,838.4148,4700.771,9445.51,4719.646,6911.325,9150.695,7946.22,5942.574,13708.48
2029,12555.68,3869.045,5894.521,10118.52,34778.77,7961.341,23235.19,18151.6,9379.077,9821.354,8530.527,19256.94,12663.09,22204.07,9400.72,12866.97,2624.962,9914.339,15196.48,8667.296,8124.833,9531.991,8441.024,6262.501,17266.84,16221.1,21240.85,12569.91,17863.58,21842.59,9544.493,17664.83,36609.65,13550.43,15417.15,12253.32,5953.458,6169.997,20265.38,5427.752,4017.5,21369.65,8957.962,9163.219,19563.12,6827.592,17931.35,9597.94,13339.18,41389.2,5303.023,14722.08,13260.05,4045.363,652.7808,5095.134,9137.864,4999.165,6725.04,8731.938,7674,5857.965,13664.98
2028,12385.5,4607.907,5322.752,10297.01,35759.11,8277.658,24576.29,18374.25,8939.816,10110.95,9078.239,19031.23,14022.44,23590.12,11280.76,12995.24,2511.255,9818.933,17603.48,8434.149,8281.696,9214.347,8598.035,6336.998,16915.52,18938.36,21432.27,11819.33,18777.37,21886.85,9205.888,17335.92,38773.67,14744.44,16837.08,11689.5,5944.544,5856.227,21230.16,5241.245,3695.313,21244.41,8214.546,9038.599,21304.13,7272.964,18518.56,10135.72,12667.8,41303.91,4978.075,14857.24,13953.13,4126.904,570.9321,4905.939,8775.84,4819.36,7072.188,8034.09,9086.394,6023.196,13427.11
2027,13148.01,5102.075,5892.602,10938.02,36450.14,8603.126,23647.06,19969.47,9554.077,10011.66,9660.134,18713.26,13366.96,24227.58,11473.95,13680.9,2622.817,10141.04,17328.72,8584.88,7232.601,10863.48,8810.517,5736.793,16945.14,18296.23,22913.06,14103.78,18697.69,22794.96,9800.583,18526.09,40347.05,13902.29,18116.71,11887.92,6306.907,6365.572,19648.22,6319.666,4093.029,22809.79,8655.339,9634.256,20484.52,7657.468,18869.6,9934.257,12579.65,42524.75,5086.789,15078.73,14258.92,4320.941,690.6767,5101.01,8872.846,4429.316,7001.697,8051.231,8457.392,6153.921,12941.54
2026,14270.93,4578.177,6724.621,11172.89,39658.93,9877.852,24424.16,19272.43,10198.44,10159.66,9662.388,18610.4,15313.83,25608.4,11052.37,15661.4,3023.201,10231.98,17168.24,9163.138,8592.222,10128.75,9397.587,5813.949,17312.85,18199.35,24848.97,14128.31,17975.59,22168.12,10167.64,19569.57,41870.15,14677.58,16542.16,12260.87,6244.342,6081.723,22340.12,6569.806,4393.589,24138.32,9055.585,10047.25,20937.68,7501.899,19888.99,9585.56,13018.76,44245.61,5593.465,15576.03,14539.03,4638.36,837.6555,4791.266,9049.047,4496.384,7395.218,7905.086,9770.06,5899.15,13249.76
