Yr cohort reaches HS graduation,Non-metropolitan portions of states or combined states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan statistical areas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL,AK HI,AZ,AR,CA,CO WY,DE MD VA WV,FL,GA,ID MT,IL,IN,IA,KS NE ND SD,KY,LA,ME NH VT,MA RI CT,MI,MN,MS,MO,NV,NM,NY,NC,OH,OK,OR WA,PA NJ,SC,TN,TX,UT,WI,Atlanta,Boston,Charlotte,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Houston,Kansas City,Los Angeles,Miami,Minneapolis-St. Paul,New York City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Sacramento,San Antonio,San Diego,San Fran,Seattle,St. Louis,Tampa,DC
Age 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,45585.66,20140.5,19170.85,25712.84,169004.5,27232.09,99221.57,74808.1,38553.27,31672.89,28886.32,59856.29,33160.08,56538.82,37967.79,39854.08,21260.48,71463.93,49759.38,18993.51,24687.14,25009.11,26082.82,18756.92,58342.07,76522.48,72407.77,33968.08,68101.62,72652.53,45371.36,61128.93,125887.5,39013.86,52793.23,65176.91,43047.03,31390.34,92338.07,21103.61,18284.91,93797.03,32691.71,44367.27,82934.93,23593.24,114908.6,60991.7,39214.52,208604.6,27529.82,62734.19,56840.63,18579.17,4088.614,23376.01,30950.29,29655.11,41615.45,38417.93,27294.65,27939.61,66378.88
2022,42165.39,19305.98,19896.74,29262.26,171865.4,26547.65,97855.29,76701.08,42838.68,29391.84,28897.38,61850.42,28300.63,55335.34,30245.24,42311.97,18571.78,71217.59,56078.03,18844.04,28594.01,26467.36,27753.62,19456.27,54635.64,76334.34,72879.6,34870.61,69455.88,71752.73,39349.95,55684.65,118632.2,36433.07,49155.88,62032.25,51458.63,27625.1,94858.62,21858.66,17824.44,84236.44,30514.72,42976.69,79139.21,23242.78,122949.1,59506.7,37706.55,202908.9,24620.19,67727.63,50332.63,19178.81,5059.412,24368.36,27777.32,31934.81,43011.71,35572.91,29926.55,28333,66170.4
2021,43743.97,16886.56,19274.2,27059.64,163990,27993.58,98042.66,73777.27,46237.95,29011.07,32468.9,60352.36,30648.34,57204.39,34044.14,38519.33,19603.67,67731.45,54814.46,18250.83,27051.1,24318.58,27997.75,16718.38,59952.45,76391.59,73995.16,38853.79,73681.71,77649.14,38399.73,63874.2,121080.3,39639,51081.74,66733.34,55028.67,29521.23,89411.47,20350.3,19246.09,84063.02,34285.07,42772.18,84083.31,22401.38,116137.4,55242.59,36498.94,197033.3,29675.37,65519.72,49258.84,21065.85,4759.386,23388.1,29109.64,29790.33,38635.24,32261.33,28969.2,27351.2,65439.26
2020,46000.52,18883.74,19901.82,29348.92,158931.2,26407.44,102103.5,72780.99,42045.43,25630.99,28518.16,60121.22,30825.1,51292.59,35763.09,37962.77,20576.15,73461.48,52150.7,21641.93,26121.43,24704.77,27069.62,18881.38,58786.36,74640.27,70258.52,37765.56,69118.66,74973.81,39054.41,57235.66,116296,37391.49,54052.08,66812.53,50544.98,26102,88949.71,21743.4,18369.87,80262.44,29946.88,40719.49,72488.14,22559.43,119923.2,55491.55,38893.95,194519.5,24877.97,61232.61,47474.5,17727.86,4378.992,25406.98,28799.59,28306.25,40474.54,32890.28,26096.45,26411.58,59343.73
2019,41199.29,18143.87,19143.03,26130.72,166209.1,29059.21,99243.11,77935.75,40662.89,30006.66,29636.87,58571.63,30991.72,54581.85,33611.35,41398.34,22508.1,71415.95,58601.95,17315.71,28671.09,21704.65,26481.34,20440.97,58428.43,78842.5,73470.56,35068.11,71403.84,69815.11,40972.12,57542.75,116784.5,40074.36,50047.54,64170.34,53281.38,31321.21,100265,22691.47,19900.91,86113.45,32491.96,46369.01,79632.34,22783.72,126143.7,56849.09,37006.37,207219,27483.76,62566.86,52076.02,23380.88,5117.031,23901.08,26460.92,29739.99,42266.88,34502.39,32175.45,28754.28,67001.38
2018,47600.76,17182.47,18639.73,27807.52,161701.9,27518.25,96539.02,73564.14,41690.24,27607.42,32927.79,58299.47,30012.67,55956.82,35599.28,42492.09,18605.58,71859.38,51640.8,19857.52,25261.6,26274.71,26922.13,16328.76,64229.4,76311.85,76673.02,37338.2,70286.93,77802.95,39652.64,62585,123310.5,34128.78,51267.96,63986.15,52348.98,27649.49,98590.95,23597.56,20209.98,79343.15,27777.69,41624.11,74157.73,23015.64,126376.9,55041.7,40714.7,200691.1,24401.52,68424.14,45587.48,20840.16,4768.704,22093.18,25373.65,29876.57,39859.16,36706.29,24487.43,28591.45,59821.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attend any two-year post-secondary institution after high school graduation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,17747.18,7203.195,8331.793,12721.47,86676.71,10026.44,29093.83,28702.43,14665.21,13530.2,9471.264,20031.44,12925.09,23814.72,14003.29,15137.45,5125.766,18181.57,17777.81,6945.133,11000.59,9803.058,14645.13,8311.939,17871.4,25501.44,23541.54,16909.14,32245.26,22566.05,13144.1,23029.77,57296.7,17164.93,17132.57,22201.34,16797.81,9536.721,27082.22,7742.389,6056.249,34433.01,13028.69,14317.25,36827.02,7976.465,44610.41,18473.26,13430.31,54452.4,9208.57,19506.11,23637.95,6478.865,1738.024,11542.33,15554.82,10885.04,15942.8,16044.9,9896.782,10044.66,22133
2034,18156.61,7574.436,8514.668,12730.43,85649.48,10242.62,28587.33,29612.61,14641.03,12737.66,10159.68,22775.44,12779.23,23340.42,14046.45,16017.46,5566.165,20071.15,18942.04,7738.853,10586.34,10189.44,14512.03,8310.923,17986.34,25611.8,24739.52,16304.36,34162.43,25126.26,12526.52,24931.43,56902.24,18172.54,18610.15,22199.27,17284.42,11190.96,31245.32,8537.242,6091.932,34239.83,13531.12,14680.87,37222.05,7984.758,51223.1,19040.56,13420.72,61317.29,9225.508,20116.34,24783.24,6354.898,887.3267,11220.74,15361.36,12357.96,15775.72,16856.08,10510.14,10549.53,22586.76
